User,Card,Year,Month,Day,Time,Amount,Use Chip,Merchant Name,Merchant City,Merchant State,Zip,MCC,Errors?,Is Fraud?
0,0,2022,1,1,07:59,$81.46,Chip Transaction,Shell,La Verne,NV,90001.0,7538.0,,No
0,0,2022,1,1,10:27,$76.63,Chip Transaction,Best Buy,Los Angeles,TX,90001.0,5651.0,,No
0,0,2022,1,1,15:00,$118.16,Chip Transaction,7-Eleven,Los Angeles,TX,91750.0,5651.0,Transaction Timeout,Yes
0,0,2022,1,1,17:26,$53.81,Swipe Transaction,Shell,Pasadena,CA,90001.0,5411.0,Account Closed,Yes
0,0,2022,1,1,20:12,$6.4,Online Transaction,Best Buy,La Verne,NV,91752.0,5651.0,,No
0,0,2022,1,2,00:11,$94.16,Chip Transaction,Best Buy,Los Angeles,NV,90001.0,4900.0,,No
0,0,2022,1,2,02:15,$82.75,Swipe Transaction,7-Eleven,La Verne,CA,91754.0,4900.0,,No
0,0,2022,1,2,06:03,$116.23,Swipe Transaction,Amazon,Los Angeles,NY,91754.0,7538.0,,No
0,0,2022,1,2,10:23,$129.34,Online Transaction,Starbucks,Los Angeles,TX,91750.0,7538.0,,No
0,0,2022,1,2,13:33,$22.13,Online Transaction,Starbucks,Mira Loma,TX,90210.0,5651.0,,No
0,0,2022,1,2,16:37,$2.03,Online Transaction,Shell,Mira Loma,NV,90210.0,5300.0,,No
0,0,2022,1,2,20:58,$14.23,Swipe Transaction,Costco,Los Angeles,TX,91752.0,5300.0,Duplicate Transaction,No
0,0,2022,1,2,22:03,$134.72,Chip Transaction,7-Eleven,Pasadena,NY,91752.0,4900.0,,No
0,0,2022,1,3,01:27,$50.0,Swipe Transaction,7-Eleven,La Verne,NY,91750.0,7832.0,,No
0,0,2022,1,3,02:53,$120.33,Swipe Transaction,Best Buy,Mira Loma,NV,90210.0,5300.0,,No
0,0,2022,1,3,05:15,$111.13,Chip Transaction,Costco,La Verne,CA,90210.0,5651.0,,No
0,0,2022,1,3,06:48,$75.21,Online Transaction,Walmart,Pasadena,TX,91750.0,5411.0,,No
0,0,2022,1,3,08:56,$14.1,Online Transaction,Best Buy,La Verne,CA,90001.0,7832.0,,Yes
0,0,2022,1,3,11:12,$124.13,Chip Transaction,7-Eleven,Los Angeles,CA,90001.0,5300.0,,No
0,0,2022,1,3,13:29,$20.42,Swipe Transaction,Starbucks,Pasadena,NY,90210.0,7832.0,,No
0,0,2022,1,3,17:22,$78.22,Swipe Transaction,Costco,La Verne,NY,90210.0,5300.0,Transaction Timeout,No
0,0,2022,1,3,20:33,$3.05,Chip Transaction,Best Buy,La Verne,NY,91754.0,7538.0,,No
0,0,2022,1,3,20:50,$35.32,Chip Transaction,Walmart,Los Angeles,TX,91752.0,4900.0,Merchant Not Found,No
0,0,2022,1,3,21:28,$57.52,Swipe Transaction,Target,Mira Loma,NV,90001.0,5411.0,,No
0,0,2022,1,3,22:36,$87.22,Swipe Transaction,Walmart,La Verne,CA,90001.0,7538.0,,No
0,0,2022,1,4,01:33,$106.62,Chip Transaction,Target,Mira Loma,TX,91754.0,5411.0,,Yes
0,0,2022,1,4,05:31,$44.87,Chip Transaction,Amazon,Los Angeles,CA,91752.0,7832.0,Invalid CVV,No
0,0,2022,1,4,05:45,$116.2,Chip Transaction,7-Eleven,Pasadena,NY,91752.0,4900.0,Invalid CVV,No
0,0,2022,1,4,09:25,$14.47,Chip Transaction,7-Eleven,Mira Loma,TX,90210.0,5651.0,,No
0,0,2022,1,4,11:40,$67.04,Swipe Transaction,Amazon,Monterey Park,NV,91750.0,5411.0,,No
0,0,2022,1,4,16:10,$42.82,Swipe Transaction,7-Eleven,Monterey Park,CA,91750.0,5651.0,,No
0,0,2022,1,4,17:40,$55.2,Swipe Transaction,Amazon,La Verne,TX,90001.0,5651.0,,No
0,0,2022,1,4,22:04,$37.26,Swipe Transaction,Walmart,Mira Loma,NY,91752.0,5651.0,,No
0,0,2022,1,5,00:54,$55.49,Swipe Transaction,Starbucks,Mira Loma,NY,90001.0,7538.0,,Yes
0,0,2022,1,5,05:05,$125.5,Online Transaction,Walmart,Monterey Park,NV,91750.0,7538.0,,No
0,0,2022,1,5,06:05,$124.47,Swipe Transaction,7-Eleven,Monterey Park,NV,91752.0,5651.0,,No
0,0,2022,1,5,10:05,$63.48,Chip Transaction,Amazon,Mira Loma,TX,91752.0,7538.0,,No
0,0,2022,1,5,12:45,$17.93,Chip Transaction,Amazon,Monterey Park,NY,91750.0,4900.0,,Yes
0,0,2022,1,5,13:14,$137.59,Swipe Transaction,7-Eleven,Pasadena,TX,91752.0,7832.0,,No
0,0,2022,1,5,15:13,$130.64,Online Transaction,7-Eleven,Monterey Park,TX,91750.0,5411.0,,No
